id,descriptions,rightanswer,A,B,C,D,wrong_count
219,经过（），中华民族获得了独立，中国人民得到了解放，实现了站起来的愿望。,A,新民主主义革命,改革开放,共产主义革命,社会主义革命,1
220,走好新时代的长征路，大学生要不断增强中国特色社会主义（），自觉做共产主义远大理想和中国特色社会主义共同理想的坚定信仰者、忠实实践者，为崇高理想信念而矢志奋斗。,ABCD,道路自信,理论自信,制度自信,文化自信,0
221,共产主义不是“土豆烧牛肉”那么简单，不能唾手可得，一蹴而就，但也不能因为实现共产主义理想是一个漫长过程就认为是虚无缥缈的海市蜃楼，就不去做一个忠诚的共产党员。,A,正确,错误,,,0
222,在追求理想的过程中，人们常常会感受到理想与现实之间的矛盾，正确认识理想与现实的关系要（）。,BCD,把理想和现实对立起来,辩证看待理想与现实的矛盾,认识到实现理想的长期性、艰巨性和曲折性,认识到艰苦奋斗是实现理想的重要条件,0
223,理想越是远大，它的实现过程就越复杂，需要的时间也越漫长。,A,正确,错误,,,0
224,脱离现实而谈理想，理想就会成为空想。,A,正确,错误,,,0
225,理想的实现是一个过程，具有（）。,ABC,长期性,艰巨性,曲折性,偶然性,0
226,（）是联系理想与现实的桥梁。,A,实践,理论,财富,道德,0
227,理想信念是一个思想认识问题，更是一个（）。,A,实践问题,理论问题,思想问题,观念问题,1
228,理想受现实的规定和制约，是在对现实认识的基础上发展起来的。,A,正确,错误,,,0
229,艰苦奋斗是老一辈的事，当代青年不需要艰苦奋斗。,B,正确,错误,,,0
230,个人理想与社会理想的关系实质上是（）关系在理想层面的反映。,C,公民与国家,个人与家庭,个人与社会,个人与集体,0
231,在整个理想体系中，（）是最根本、最重要的。,A,社会理想,个人理想,职业理想,家庭理想,1
232,个人理想的实现不仅仅是个人奋斗的事情，而是要担当时代赋予的社会责任和历史使命。,A,正确,错误,,,0
233,个人理想只有同（）相结合，个人的向往和追求只有同社会的需要和人民的利益相一致，才可能变为现实。,AB,国家的前途,民族的命运,拜金的理想,利己的追求,1
234,个人理想规定、指引着社会理想。,B,正确,错误,,,1
235,强调个人理想符合社会理想，就是要排斥和抹杀个人理想。,B,正确,错误,,,0
236,大学生肩负实现中华民族伟大复兴的中国梦的历史重任，只有把实现理想的道路建立在脚踏实地的奋斗上，才能放飞青春梦想，实现人生理想，这就要求大学生要（）。,ABC,立鸿鹄志，做奋斗者,心怀“国之大者”，敢于担当,自觉躬身实践，知行合一,立志做大官,0
237,青年志存高远，就能激发奋进潜力，青春岁月就不会像无舵之舟漂泊不定。以下描述中，反映志向高远的有（）。,ABCD,“长风破浪会有时，直挂云帆济沧海”,“先天下之忧而忧，后天下之乐而乐。”,“为中华之崛起而读书”,“穷则独善其身，达则兼济天下”,1
238,在今天，做大事就是投身于新时代中国特色社会主义伟大事业。,A,正确,错误,,,0
239,漫长征途需要一步一步地走，崇高理想的实现需要一点一滴地奋斗。,A,正确,错误,,,0
240,中国梦是中华民族的振兴之梦，也是每一个大学生的成才之梦。,A,正确,错误,,,0
241,理想和现实的矛盾与冲突，属于“应然”和“实然”的矛盾。,A,正确,错误,,,0
242,实现理想、创造未来，必须有战胜种种艰难险阻的坚定不移的信心和坚忍不拔的毅力。,A,正确,错误,,,0
243,人类的美好理想，都不可能唾手可得，都离不开筚路蓝缕、手胼足胝的艰苦奋斗。,A,正确,错误,,,0
244,对于当代青年来说，理想的实现必须通过实践才能转变为现实。,A,正确,错误,,,0
245,艰苦奋斗是实现理想的重要条件，现实生活物质财富极大丰富，实现个人理想也不一定要通过艰苦奋斗来达成。,B,正确,错误,,,1
246,凡有成就者，其（），都是从艰苦奋斗中得来的。,ABCD,渊博的知识,卓越的才能,闪光的智慧,不朽的业绩,0
247,理想信念不是拿来说、拿来唱的，更不是用来装点门面的，只有见诸行动才有说服力。,A,正确,错误,,,0
248,（）是指处于一定历史条件和社会关系中的个体对于自己未来的物质生活、精神生活所产生的向往和追求。,B,社会理想,个人理想,国家理想,民族理想,0
249,（）是指社会集体乃至社会全体成员的共同理想，即在全社会占主导地位的共同奋斗目标。,B,个人理想,社会理想,家庭理想,职业理想,0
250,以下各项中，关于个人理想和社会理想的关系，理解不正确的是（）。,D,个人理想以社会理想为指引,社会理想是个人理想的汇聚和升华,二者相互联系、相互影响、相互制约,社会理想从属于个人理想,0
251,中国精神作为兴国强国之魂，是实现中华民族伟大复兴不可或缺的精神支撑。,A,正确,错误,,,0
252,“人物精神则不立，国无精神则不强。”中国精神包括,AC,民族精神,文化精神,时代精神,奋斗精神,0
253,中华民族崇尚精神的优秀传统，表现在（）。,ABC,对物质生活与精神生活相互关系的独到理解,对理想的不懈追求,对品格养成的重视,对物质生活的无限追求,0
254,古圣先贤认为，人之所以异于禽兽，在于人有道德，有精神追求，以下表述中，反映这一观点的有（）。,ABCD,“不义而富且贵，于我如浮云”,“一箪食，一瓢饮，在陋巷，人不堪其忧，回也不改其乐”,“先天下之忧而忧，后天下之乐而乐”,“人生自古谁无死，留取丹心照汗青”,0
255,中国古人重视并崇尚精神生活，在义利观上的主张不包括（）。,D,见利思义,以义制利,先义后利,见利忘义,0
256,矢志不渝地追求和坚守（），是中国古人崇尚精神的典型体现。,C,利益,权力,理想,物质,0
257,（）是激励个体的精神内驱力，是凝聚社会整体的精神力量。,D,权力,家庭,金钱,理想,0
258,（）把“兼相爱，交相利”作为理想，提倡为兴天下之利、除天下之害而摩顶放踵。,D,儒家,道家,法家,墨家,0
259,中国历史上许多仁人志士重视人生境界和理想人格，这些理想人格虽时代不同、类型有别，但其共同点是关注人的精神品格。,A,正确,错误,,,0
260,中国传统文化十分强调道德修养和道德教化，提出了“三不朽”，其中不包括（）。,D,立言,立功,立德,立威,0
261,对品格养成的重视是中华民族崇尚精神的优秀传统的表现之一。,A,正确,错误,,,0
262,中华民族崇尚精神的优秀传统，表现为对物质生活与（）相互关系的独到理解。,A,精神生活,政治生活,经济生活,现实生活,0
263,儒家把（）视为最高理想，为实现“仁”的理想即使献出生命也在所不惜，即“志士仁人，无求生以害仁，有杀身以成仁”。,AC,仁爱,无为,和谐,兼相爱，交相利,0
264,今天，中国人民比历史上任何时期都更接近、更有信心和能力实现中华民族伟大复兴。,A,正确,错误,,,0
265,关于中国共产党人的精神谱系，下列描述中正确的有（）。,ABCD,是中国共产党领导人民在团结奋斗中共同创造的,集中体现了党的坚定信念、根本宗旨、优良作风,凝聚着中国共产党人艰苦奋斗、牺牲奉献、开拓进取的伟大品格,深深融入党、国家、民族、人民的血脉之中,0
266,弘扬中国精神，对于维系中华民族的生存与发展、维护国家统一和民族团结发挥着重要的凝聚作用。,A,正确,错误,,,0
267,实现梦想、应对挑战、创造未来的动力，只能（）。,ABD,从发展中来,从改革中来,到传统中去,从创新中来,0
268,（）是一个民族在长期共同生活和社会实践中形成的，为本民族大多数成员所认同的价值取向、思维方式、道德规范、精神气质的总和，是一个民族赖以生存和发展的精神支柱。,B,陈规陋习,民族精神,传统风俗,历史遗产,0
269,爱国主义体现和调节个人与国家之间的关系表现为（）。,BCD,社会舆论,道德要求,政治原则,法律规范,0
270,爱国主义是具体的和现实的。弘扬爱国主义就必须认识到中国共产党领导和中国社会主义制度必须长期坚持，不可动摇。,A,正确,错误,,,0
271,爱祖国的大好河山，只需要爱祖国的自然风光。,B,正确,错误,,,0
272,维护祖国领土的完整和统一，是每个人的神圣使命和义不容辞的责任。,A,正确,错误,,,0
273,（）之爱反映了对民族利益共同体的自觉认同，是检验一个人对祖国忠诚程度的试金石。,B,灿烂文化,骨肉同胞,自然风光,民俗文化,0
274,爱祖国的灿烂文化，体现为对祖国优秀历史文化传统的（）。,AC,认同和尊重,抵制和排斥,传承和发扬,抛弃和否认,0
275,文化是一个国家、一个民族的灵魂，是一个国家民族得以延续的精神基因，是涵养（）的摇篮，是民族凝聚力的重要基础。,ABD,民族心理,民族个性,陈规陋习,民族精神,0
276,中华文明历来把人的精神生活纳入人生和社会理想之中。,A,正确,错误,,,0
277,古代思想家们不仅对道德修养和道德教化理论进行了系统论述，而且提出了修身养性的具体方法以及家箴家训、乡规民约等教化方式。,A,正确,错误,,,0
278,在几千年历史长河中，中国人民始终团结一心、同舟共济，建立了统一的多民族国家，发展了56个民族多元一体、交织交融的融洽民族关系，形成了守望相助的中华民族大家庭。,A,正确,错误,,,0
279,中国人民从亲身经历中深刻认识到，团结就是力量，团结才能前进，一个四分五裂的国家不可能发展进步。,A,正确,错误,,,0
